prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
石川,2010,8293,23.969825602776154,1145948.0,-0.7241073900108305,13.951742800009185,4,-2.896429560043322
神奈川,2010,93369,25.07439573979091,14462286.0,-0.6406241078023847,16.48705485348609,4,-2.5624964312095386
福井,2010,6058,50.37581488422377,786503.0,1.2716542020363042,13.575351815840646,4,5.086616808145217
福岡,2010,78809,23.005781585190512,4546317.0,-0.7969697244923494,15.329828012595692,4,-3.1878788979693975
福島,2010,19427,31.14665666094769,1901053.0,-0.18168333515547966,14.457918501145048,4,-0.7267333406219186
秋田,2010,5407,31.544540536562607,1000223.0,-0.15161131821328477,13.81573353310347,4,-0.6064452728531391
群馬,2010,22211,35.37874920856942,1981202.0,0.13817772630706265,14.49921428918491,4,0.5527109052282506
茨城,2010,41312,8.279642799800818,2936184.0,-1.909969577434242,14.892621337052569,4,-7.639878309736968
長崎,2010,8950,37.30671146027262,1365391.0,0.28389288857024414,14.126951392469568,4,1.1355715542809766
長野,2010,18295,56.24581769386356,2101891.0,1.7153083301896734,14.558347973698664,4,6.861233320758694
青森,2010,9943,25.077956956509244,1292709.0,-0.6403549514579032,14.072250574420002,4,-2.561419805831613
静岡,2010,39451,36.26075695912359,3624152.0,0.20483976928837402,15.103130887870297,4,0.8193590771534961
香川,2010,10432,31.986803916123705,987336.0,-0.11818510353564957,13.80276568601591,4,-0.47274041414259826
高知,2010,8689,63.17883649415797,717480.0,2.239305083013082,13.48350035166295,4,8.957220332052328
鳥取,2010,5189,37.65155750378689,566052.0,0.3099563123442864,13.246441225756794,4,1.2398252493771456
鹿児島,2010,11392,34.11404146783006,1643437.0,0.04259126267452362,14.312300338525404,4,0.1703650506980945
三重,2011,22215,34.85373994116153,1824637.0,0.09849758707071035,14.416891621105094,5,0.49248793535355173
京,2011,37810,31.26978706868641,2555068.0,-0.17237715329049316,14.753589395747191,5,-0.8618857664524658
佐賀,2011,8150,27.415622237567113,828781.0,-0.46367448199050065,13.627711225514156,5,-2.318372409952503
兵庫,2011,76532,33.43276950065225,5570618.0,-0.008899193196680871,15.533016557274834,5,-0.044495965983404356
千葉,2011,83010,7.7578900082776,6311190.0,-1.9494035926028013,15.657834806277036,5,-9.747017963014006
和歌山,2011,10954,46.4366610498149,964598.0,0.9739334143738684,13.779466713216559,5,4.869667071869342
埼玉,2011,100253,12.19376327999905,7377288.0,-1.614140807765194,15.813916649364657,5,-8.07070403882597
大分,2011,8197,39.00662127000445,1160218.0,0.4123718738506981,13.964118476460206,5,2.0618593692534906
大阪,2011,177397,17.783744614549438,10725709.0,-1.1916506700601754,16.188154127819477,5,-5.958253350300877
奈良,2011,13325,35.50260287463157,1362781.0,0.14753857195183245,14.125038022787404,5,0.7376928597591623
宮城,2011,20605,20.37070067118007,2303098.0,-0.9961288328319627,14.64976573108895,5,-4.980644164159814
宮崎,2011,9490,50.01463976760754,1103755.0,1.244356628820509,13.914228560901371,5,6.221783144102545
富山,2011,6681,43.294721943217034,1063293.0,0.7364660229171697,13.876881254339034,5,3.6823301145858482
山口,2011,11451,38.18173809978662,1383079.0,0.35002729999284743,14.139822731213604,5,1.750136499964237
山形,2011,6436,38.47504315257469,1095383.0,0.37219526169534867,13.906614631766379,5,1.8609763084767432
山梨,2011,7376,61.35151765963628,832769.0,2.1011965384896256,13.632511571766825,5,10.505982692448129
岐阜,2011,25230,34.803978168759436,2044114.0,0.09473659811272184,14.530475001744605,5,0.4736829905636092
岡山,2011,23872,34.5186564779249,1911722.0,0.07317201797613941,14.463514964532704,5,0.36586008988069707
岩手,2011,6353,37.59918131481275,1250142.0,0.3059977260865155,14.038767702826492,5,1.5299886304325774
島根,2011,4466,42.33789124458688,686126.0,0.6641488702415322,13.438816563311503,5,3.320744351207661
